interaction_id,user_id,product_id,session_id,interaction_type,implicit_weight,duration_seconds,timestamp
"int_1790176426478_z0qnmbrgh","6a833393cee036cbf121a837","68c5583b9869e837e80ce9b9","sess_1790176426477_piyht03","view",1,56,"2026-08-10T02:25:45.037Z"
"int_1790176426478_ucl4l1yn1","6a833393cee036cbf121a837","68c5583b9869e837e80cea78","sess_1790176426477_piyht03","view",1,43,"2026-08-10T02:25:45.037Z"
"int_1790176426478_6t2zul36h","6a833393cee036cbf121a837","68c5583b9869e837e80ce98f","sess_1790176426477_piyht03","view",1,174,"2026-08-10T02:25:45.037Z"
"int_1790176426478_8uceauy0g","6a833393cee036cbf121a837","68c5583b9869e837e80cea78","sess_1790176426477_piyht03","like",3,0,"2026-08-10T02:26:00.037Z"
"int_1790176426478_rhs5k93aj","6a833393cee036cbf121a837","68c5583b9869e837e80cea78","sess_1790176426477_piyht03","add_to_cart",5,0,"2026-08-10T02:26:20.037Z"
"int_1790176426921_urboy8akr","6a833392cee036cbf121a82d","68c5583b9869e837e80cea76","sess_explore_1790176426921_knlz2z","view",1,34,"2026-08-10T03:26:16.303Z"
"int_1790176426921_tnhabv26r","6a833392cee036cbf121a82d","68c5583b9869e837e80cea76","sess_explore_1790176426921_knlz2z","like",3,0,"2026-08-10T03:26:26.303Z"
"int_1790176426925_q3ccrxmi2","68e5331e5186f04dcdf2e9f6","68c5583b9869e837e80ceaf5","sess_explore_1790176426925_3to695","search_click",2,38,"2026-08-10T03:41:27.808Z"
"int_1790176426922_q1vhbeeek","6a833395cee036cbf121a855","68c5583b9869e837e80ceab4","sess_explore_1790176426922_vqjv6q","view",1,29,"2026-08-10T04:58:17.947Z"
"int_1790176426920_5y8ind00o","6a833396cee036cbf121a861","68c5583b9869e837e80cea2a","sess_explore_1790176426920_zoxkhq","view",1,44,"2026-08-10T06:34:56.261Z"
"int_1790176426922_bwbrfwg3k","6a833392cee036cbf121a82d","68c5583b9869e837e80cea8c","sess_explore_1790176426922_2ffu1g","view",1,35,"2026-08-10T07:22:08.703Z"
"int_1790176426924_ou9jx3jnu","6a833392cee036cbf121a827","68c5583b9869e837e80ceae4","sess_explore_1790176426924_qrzasr","view",1,61,"2026-08-10T08:28:00.026Z"
"int_1790176426920_9ygk7wo2j","6a83085d4d4fb77855083406","68c5583b9869e837e80ce9fd","sess_explore_1790176426920_x5q33d","view",1,65,"2026-08-10T08:30:44.336Z"
"int_1790176426862_kr7eqs2tc","6a833397cee036cbf121a87d","68c5583b9869e837e80ce97d","sess_1790176426860_tivn9r0","view",1,32,"2026-08-10T10:19:22.763Z"
"int_1790176426862_20lcdevkw","6a833397cee036cbf121a87d","68c5583b9869e837e80ceaf8","sess_1790176426860_tivn9r0","view",1,129,"2026-08-10T10:19:22.763Z"
"int_1790176426862_yjvoz9x6q","6a833397cee036cbf121a87d","68c5583b9869e837e80ce998","sess_1790176426860_tivn9r0","view",1,105,"2026-08-10T10:19:22.763Z"
"int_1790176426862_52nrp8zsc","6a833397cee036cbf121a87d","68c5583b9869e837e80ce97d","sess_1790176426860_tivn9r0","like",3,0,"2026-08-10T10:19:37.763Z"
"int_1790176426862_mkep5hgsl","6a833397cee036cbf121a87d","68c5583b9869e837e80ceaf8","sess_1790176426860_tivn9r0","add_to_cart",5,0,"2026-08-10T10:19:57.763Z"
"int_1790176426862_bj8oxnwtb","6a833397cee036cbf121a87d","68c5583b9869e837e80ceaf8","sess_1790176426860_tivn9r0","purchase",10,0,"2026-08-10T10:20:22.763Z"
"int_1790176426506_g5m74r2b8","6a833393cee036cbf121a83d","68c5583b9869e837e80cea8f","sess_1790176426504_oas6xvf","view",1,68,"2026-08-10T10:23:09.433Z"
"int_1790176426506_59m0y17di","6a833393cee036cbf121a83d","68c5583b9869e837e80cea7e","sess_1790176426504_oas6xvf","view",1,45,"2026-08-10T10:23:09.433Z"
"int_1790176426506_boziwxqae","6a833393cee036cbf121a83d","68c5583b9869e837e80ce9a5","sess_1790176426504_oas6xvf","view",1,120,"2026-08-10T10:23:09.433Z"
"int_1790176426506_enhn7rhns","6a833393cee036cbf121a83d","68c5583b9869e837e80cea7c","sess_1790176426504_oas6xvf","view",1,99,"2026-08-10T10:23:09.433Z"
"int_1790176426506_zmn9j0z3j","6a833393cee036cbf121a83d","68c5583b9869e837e80ceafe","sess_1790176426504_oas6xvf","view",1,170,"2026-08-10T10:23:09.433Z"
"int_1790176426506_6287vbzzz","6a833393cee036cbf121a83d","68c5583b9869e837e80cea8f","sess_1790176426504_oas6xvf","like",3,0,"2026-08-10T10:23:24.433Z"
"int_1790176426506_1b4ij8xxd","6a833393cee036cbf121a83d","68c5583b9869e837e80ce9a5","sess_1790176426504_oas6xvf","like",3,0,"2026-08-10T10:23:24.433Z"
"int_1790176426506_gs6d4rypz","6a833393cee036cbf121a83d","68c5583b9869e837e80cea7e","sess_1790176426504_oas6xvf","add_to_cart",5,0,"2026-08-10T10:23:44.433Z"
"int_1790176426506_6mofxrgml","6a833393cee036cbf121a83d","68c5583b9869e837e80cea7c","sess_1790176426504_oas6xvf","add_to_cart",5,0,"2026-08-10T10:23:44.433Z"
"int_1790176426921_kn68a1xnb","6a833396cee036cbf121a86b","68c5583b9869e837e80cea44","sess_explore_1790176426921_mxc68m","view",1,63,"2026-08-10T10:35:11.141Z"
"int_1790176426921_2j8qadlm0","6a833396cee036cbf121a86b","68c5583b9869e837e80cea44","sess_explore_1790176426921_mxc68m","like",3,0,"2026-08-10T10:35:21.141Z"
"int_1790176426919_c1dw4gglo","6a833397cee036cbf121a875","68c5583b9869e837e80ce9c8","sess_explore_1790176426919_bowbqo","search_click",2,65,"2026-08-10T12:01:19.006Z"
"int_1790176426919_ugnx4rfg4","6a833396cee036cbf121a86b","68c5583b9869e837e80ce9c5","sess_explore_1790176426919_irg7z0","view",1,36,"2026-08-10T14:14:26.727Z"
"int_1790176426922_qx1dx8jry","6a833398cee036cbf121a887","68c5583b9869e837e80cea82","sess_explore_1790176426922_nebzjb","search_click",2,70,"2026-08-10T15:56:16.803Z"
"int_1790176426924_wtkegxhpq","6a833395cee036cbf121a85d","68c5583b9869e837e80cead9","sess_explore_1790176426924_tcuzav","view",1,39,"2026-08-10T16:52:38.818Z"
"int_1790176426924_bcdotolxe","6a833395cee036cbf121a85d","68c5583b9869e837e80cead9","sess_explore_1790176426924_tcuzav","like",3,0,"2026-08-10T16:52:48.818Z"
"int_1790176426922_v4nnm88iw","6a833395cee036cbf121a855","68c5583b9869e837e80cea95","sess_explore_1790176426922_3qmupu","search_click",2,90,"2026-08-10T18:38:37.356Z"
"int_1790176426729_nzosuvn6j","6a833396cee036cbf121a869","68c5583b9869e837e80ce992","sess_1790176426727_e17n26s","view",1,130,"2026-08-10T19:33:36.366Z"
"int_1790176426729_9h8l5pixc","6a833396cee036cbf121a869","68c5583b9869e837e80ce9f9","sess_1790176426727_e17n26s","view",1,60,"2026-08-10T19:33:36.366Z"
"int_1790176426729_av6t14j27","6a833396cee036cbf121a869","68c5583b9869e837e80ce9fb","sess_1790176426727_e17n26s","view",1,166,"2026-08-10T19:33:36.366Z"
"int_1790176426729_hztzeelpv","6a833396cee036cbf121a869","68c5583b9869e837e80ce9f9","sess_1790176426727_e17n26s","like",3,0,"2026-08-10T19:33:51.366Z"
"int_1790176426729_nn5xn0fwn","6a833396cee036cbf121a869","68c5583b9869e837e80ce9fb","sess_1790176426727_e17n26s","add_to_cart",5,0,"2026-08-10T19:34:11.366Z"
"int_1790176426729_50112kmph","6a833396cee036cbf121a869","68c5583b9869e837e80ce9fb","sess_1790176426727_e17n26s","purchase",10,0,"2026-08-10T19:34:36.366Z"
"int_1790176426676_5b8m31vd1","6a833395cee036cbf121a85d","68c5583b9869e837e80ce985","sess_1790176426674_drcdj60","view",1,175,"2026-08-10T20:01:15.039Z"
"int_1790176426676_q8vla0trc","6a833395cee036cbf121a85d","68c5583b9869e837e80ce9ee","sess_1790176426674_drcdj60","view",1,172,"2026-08-10T20:01:15.039Z"
"int_1790176426676_g8llnvfp1","6a833395cee036cbf121a85d","68c5583b9869e837e80cea4d","sess_1790176426674_drcdj60","view",1,114,"2026-08-10T20:01:15.039Z"
"int_1790176426676_r6bqpfipe","6a833395cee036cbf121a85d","68c5583b9869e837e80ceaac","sess_1790176426674_drcdj60","view",1,20,"2026-08-10T20:01:15.039Z"
"int_1790176426676_12oaawmxm","6a833395cee036cbf121a85d","68c5583b9869e837e80cea3e","sess_1790176426674_drcdj60","view",1,76,"2026-08-10T20:01:15.039Z"
"int_1790176426676_31hdvelqz","6a833395cee036cbf121a85d","68c5583b9869e837e80cea7c","sess_1790176426674_drcdj60","view",1,149,"2026-08-10T20:01:15.039Z"
"int_1790176426676_f9q2xk5z0","6a833395cee036cbf121a85d","68c5583b9869e837e80ce9ee","sess_1790176426674_drcdj60","like",3,0,"2026-08-10T20:01:30.039Z"
"int_1790176426676_u01h1h8zx","6a833395cee036cbf121a85d","68c5583b9869e837e80cea4d","sess_1790176426674_drcdj60","like",3,0,"2026-08-10T20:01:30.039Z"
"int_1790176426676_8srgfe8ct","6a833395cee036cbf121a85d","68c5583b9869e837e80cea3e","sess_1790176426674_drcdj60","like",3,0,"2026-08-10T20:01:30.039Z"
"int_1790176426676_jfyin8m4h","6a833395cee036cbf121a85d","68c5583b9869e837e80cea4d","sess_1790176426674_drcdj60","add_to_cart",5,0,"2026-08-10T20:01:50.039Z"
"int_1790176426676_z1oxnnkvd","6a833395cee036cbf121a85d","68c5583b9869e837e80cea4d","sess_1790176426674_drcdj60","purchase",10,0,"2026-08-10T20:02:15.039Z"
"int_1790176426920_jq86dtdzx","6a833396cee036cbf121a863","68c5583b9869e837e80cea1a","sess_explore_1790176426920_0lzv32","view",1,71,"2026-08-10T20:46:31.754Z"
"int_1790176426920_q1ho8uyub","68e5331e5186f04dcdf2e9f6","68c5583b9869e837e80cea16","sess_explore_1790176426920_8cmb2d","view",1,78,"2026-08-10T21:01:53.251Z"
"int_1790176426922_bufu5tpoa","6a833397cee036cbf121a871","68c5583b9869e837e80ceaab","sess_explore_1790176426922_yg2eop","view",1,46,"2026-08-10T22:12:52.540Z"
"int_1790176426920_heb4n6oxh","6a833397cee036cbf121a873","68c5583b9869e837e80cea37","sess_explore_1790176426920_96mh00","view",1,38,"2026-08-10T22:51:14.179Z"
"int_1790176426920_sxan185nu","6a833397cee036cbf121a873","68c5583b9869e837e80cea37","sess_explore_1790176426920_96mh00","like",3,0,"2026-08-10T22:51:24.179Z"
"int_1790176426921_rfqh6qrw4","6a833396cee036cbf121a867","68c5583b9869e837e80cea6d","sess_explore_1790176426921_xhwoz4","view",1,66,"2026-08-11T01:09:08.081Z"
"int_1790176426921_lwdud533s","6a833393cee036cbf121a83b","68c5583b9869e837e80cea4e","sess_explore_1790176426921_xdjmgs","view",1,56,"2026-08-11T01:55:15.829Z"
"int_1790176426921_wluaz0571","6a833393cee036cbf121a83b","68c5583b9869e837e80cea4e","sess_explore_1790176426921_xdjmgs","like",3,0,"2026-08-11T01:55:25.829Z"
"int_1790176426925_of04kh68i","6a833398cee036cbf121a881","68c5583b9869e837e80ceaef","sess_explore_1790176426925_31jowv","search_click",2,83,"2026-08-11T03:15:20.393Z"
"int_1790176426920_woejq18vq","6a833396cee036cbf121a863","68c5583b9869e837e80cea20","sess_explore_1790176426920_8oycz7","view",1,56,"2026-08-11T03:55:24.102Z"
"int_1790176426919_5d1x5m2lo","6a833398cee036cbf121a87f","68c5583b9869e837e80ce9c9","sess_explore_1790176426919_9vr150","view",1,86,"2026-08-11T04:20:19.411Z"
"int_1790176426919_77g98ujoq","6a833398cee036cbf121a87f","68c5583b9869e837e80ce9c9","sess_explore_1790176426919_9vr150","like",3,0,"2026-08-11T04:20:29.411Z"
"int_1790176426924_jppxfv47r","6a833395cee036cbf121a859","68c5583b9869e837e80cead1","sess_explore_1790176426924_ezu12v","view",1,78,"2026-08-11T04:33:22.372Z"
"int_1790176426740_nm3o9d4tq","6a833396cee036cbf121a86b","68c5583b9869e837e80ce9b6","sess_1790176426737_fr262no","view",1,94,"2026-08-11T06:08:42.791Z"
"int_1790176426740_g320i32y8","6a833396cee036cbf121a86b","68c5583b9869e837e80cea15","sess_1790176426737_fr262no","view",1,106,"2026-08-11T06:08:42.791Z"
"int_1790176426740_vczw9vg8a","6a833396cee036cbf121a86b","68c5583b9869e837e80ce977","sess_1790176426737_fr262no","view",1,156,"2026-08-11T06:08:42.791Z"
"int_1790176426740_82uv535iw","6a833396cee036cbf121a86b","68c5583b9869e837e80cea60","sess_1790176426737_fr262no","view",1,72,"2026-08-11T06:08:42.791Z"
"int_1790176426740_x7b9bgul0","6a833396cee036cbf121a86b","68c5583b9869e837e80ce9b6","sess_1790176426737_fr262no","like",3,0,"2026-08-11T06:08:57.791Z"
"int_1790176426740_f7f8ghudt","6a833396cee036cbf121a86b","68c5583b9869e837e80cea15","sess_1790176426737_fr262no","like",3,0,"2026-08-11T06:08:57.791Z"
"int_1790176426740_iua8wukl4","6a833396cee036cbf121a86b","68c5583b9869e837e80ce977","sess_1790176426737_fr262no","add_to_cart",5,0,"2026-08-11T06:09:17.791Z"
"int_1790176426740_l8kv36tpn","6a833396cee036cbf121a86b","68c5583b9869e837e80ce977","sess_1790176426737_fr262no","purchase",10,0,"2026-08-11T06:09:42.791Z"
"int_1790176426433_gdkj05lo2","6a833392cee036cbf121a82d","68c5583b9869e837e80cea80","sess_1790176426430_46ps0o3","view",1,119,"2026-08-11T06:24:27.160Z"
"int_1790176426433_4li1cjd7h","6a833392cee036cbf121a82d","68c5583b9869e837e80ce9ee","sess_1790176426430_46ps0o3","view",1,77,"2026-08-11T06:24:27.160Z"
"int_1790176426433_e9sg81fhc","6a833392cee036cbf121a82d","68c5583b9869e837e80ce9a4","sess_1790176426430_46ps0o3","view",1,103,"2026-08-11T06:24:27.160Z"
"int_1790176426433_wv04rzey9","6a833392cee036cbf121a82d","68c5583b9869e837e80ce9a7","sess_1790176426430_46ps0o3","view",1,135,"2026-08-11T06:24:27.160Z"
"int_1790176426433_nzapxq9uq","6a833392cee036cbf121a82d","68c5583b9869e837e80ce97d","sess_1790176426430_46ps0o3","view",1,55,"2026-08-11T06:24:27.160Z"
"int_1790176426433_3riuzfj82","6a833392cee036cbf121a82d","68c5583b9869e837e80cea80","sess_1790176426430_46ps0o3","like",3,0,"2026-08-11T06:24:42.160Z"
"int_1790176426433_151rl2pww","6a833392cee036cbf121a82d","68c5583b9869e837e80ce9a7","sess_1790176426430_46ps0o3","like",3,0,"2026-08-11T06:24:42.160Z"
"int_1790176426924_nir56fda9","6a833392cee036cbf121a827","68c5583b9869e837e80cead2","sess_explore_1790176426924_b46xga","view",1,70,"2026-08-11T06:33:02.656Z"
"int_1790176426919_hu0woxo61","6a833392cee036cbf121a827","68c5583b9869e837e80ce9c8","sess_explore_1790176426919_leb4bl","view",1,63,"2026-08-11T07:59:55.836Z"
"int_1790176426921_zgapwy24u","6a833392cee036cbf121a82f","68c5583b9869e837e80cea4b","sess_explore_1790176426921_0p97d0","view",1,42,"2026-08-11T09:24:06.519Z"
"int_1790176426601_ejz1oqmtq","6a833394cee036cbf121a84d","68c5583b9869e837e80ce97d","sess_1790176426597_3ey7qtm","view",1,26,"2026-08-11T11:29:58.739Z"
"int_1790176426601_15jbq9lx1","6a833394cee036cbf121a84d","68c5583b9869e837e80ce9a6","sess_1790176426597_3ey7qtm","view",1,28,"2026-08-11T11:29:58.739Z"
"int_1790176426601_jsw6b86oj","6a833394cee036cbf121a84d","68c5583b9869e837e80ceaac","sess_1790176426597_3ey7qtm","view",1,167,"2026-08-11T11:29:58.739Z"
"int_1790176426601_yekh7my3t","6a833394cee036cbf121a84d","68c5583b9869e837e80cea96","sess_1790176426597_3ey7qtm","view",1,73,"2026-08-11T11:29:58.739Z"
"int_1790176426601_01jq8wxsv","6a833394cee036cbf121a84d","68c5583b9869e837e80cea96","sess_1790176426597_3ey7qtm","like",3,0,"2026-08-11T11:30:13.739Z"
"int_1790176426601_3a1emopcz","6a833394cee036cbf121a84d","68c5583b9869e837e80ce97d","sess_1790176426597_3ey7qtm","add_to_cart",5,0,"2026-08-11T11:30:33.739Z"
"int_1790176426601_4xhjt8vr1","6a833394cee036cbf121a84d","68c5583b9869e837e80ce9a6","sess_1790176426597_3ey7qtm","add_to_cart",5,0,"2026-08-11T11:30:33.739Z"
"int_1790176426601_77wkxdka0","6a833394cee036cbf121a84d","68c5583b9869e837e80cea96","sess_1790176426597_3ey7qtm","add_to_cart",5,0,"2026-08-11T11:30:33.739Z"
"int_1790176426920_dq8x2yu8h","6a833396cee036cbf121a861","68c5583b9869e837e80ce9ff","sess_explore_1790176426920_anqowo","search_click",2,35,"2026-08-11T14:58:05.877Z"
"int_1790176426468_x1y329idv","6a833392cee036cbf121a833","68c5583b9869e837e80cea8a","sess_1790176426467_tmwjysb","view",1,68,"2026-08-11T18:28:31.196Z"
"int_1790176426468_8cbnfj7sg","6a833392cee036cbf121a833","68c5583b9869e837e80cea02","sess_1790176426467_tmwjysb","view",1,88,"2026-08-11T18:28:31.196Z"
"int_1790176426468_8sost844v","6a833392cee036cbf121a833","68c5583b9869e837e80cea9a","sess_1790176426467_tmwjysb","view",1,46,"2026-08-11T18:28:31.196Z"
"int_1790176426925_rs6tar531","6a833398cee036cbf121a87f","68c5583b9869e837e80ceaee","sess_explore_1790176426925_iesqpk","search_click",2,36,"2026-08-11T18:46:14.987Z"
"int_1790176426922_w3chzitvj","6a833397cee036cbf121a871","68c5583b9869e837e80cea8e","sess_explore_1790176426922_yzrdh5","view",1,62,"2026-08-11T20:33:36.086Z"
"int_1790176426922_87ko66gei","6a833397cee036cbf121a871","68c5583b9869e837e80cea8e","sess_explore_1790176426922_yzrdh5","like",3,0,"2026-08-11T20:33:46.086Z"
"int_1790176426920_2d2lij4q2","6a833396cee036cbf121a867","68c5583b9869e837e80cea08","sess_explore_1790176426920_4n7vco","view",1,82,"2026-08-11T20:48:29.518Z"
"int_1790176426925_cjoqupplw","6a83085d4d4fb77855083406","68c5583b9869e837e80ceae9","sess_explore_1790176426925_mmlqh5","view",1,90,"2026-08-11T21:54:38.580Z"
"int_1790176426924_dzc4qaweo","6a833392cee036cbf121a82b","68c5583b9869e837e80ceade","sess_explore_1790176426924_7zvb0c","view",1,36,"2026-08-11T23:50:23.935Z"
"int_1790176426924_06ndbk0x4","6a833392cee036cbf121a82b","68c5583b9869e837e80ceade","sess_explore_1790176426924_7zvb0c","like",3,0,"2026-08-11T23:50:33.935Z"
"int_1790176426922_q46gv7vm7","6a833393cee036cbf121a843","68c5583b9869e837e80ceaa1","sess_explore_1790176426922_83klv5","search_click",2,75,"2026-08-12T00:12:02.887Z"
"int_1790176426662_7zjmty1cx","6a833395cee036cbf121a859","68c5583b9869e837e80ce9e8","sess_1790176426661_94iavuh","view",1,35,"2026-08-12T00:38:15.547Z"
"int_1790176426662_8t8hv1yix","6a833395cee036cbf121a859","68c5583b9869e837e80ce98f","sess_1790176426661_94iavuh","view",1,179,"2026-08-12T00:38:15.547Z"
"int_1790176426662_onehhbitg","6a833395cee036cbf121a859","68c5583b9869e837e80ce9eb","sess_1790176426661_94iavuh","view",1,172,"2026-08-12T00:38:15.547Z"
"int_1790176426662_yh98ca7yc","6a833395cee036cbf121a859","68c5583b9869e837e80ce9dd","sess_1790176426661_94iavuh","view",1,76,"2026-08-12T00:38:15.547Z"
"int_1790176426662_rzpgeata3","6a833395cee036cbf121a859","68c5583b9869e837e80ce9f2","sess_1790176426661_94iavuh","view",1,81,"2026-08-12T00:38:15.547Z"
"int_1790176426662_p4llyb406","6a833395cee036cbf121a859","68c5583b9869e837e80ce9dd","sess_1790176426661_94iavuh","like",3,0,"2026-08-12T00:38:30.547Z"
"int_1790176426662_mpkqpm8co","6a833395cee036cbf121a859","68c5583b9869e837e80ce9dd","sess_1790176426661_94iavuh","add_to_cart",5,0,"2026-08-12T00:38:50.547Z"
"int_1790176426662_v7fetko1b","6a833395cee036cbf121a859","68c5583b9869e837e80ce9f2","sess_1790176426661_94iavuh","add_to_cart",5,0,"2026-08-12T00:38:50.547Z"
"int_1790176426440_mfhd3vx4n","6a833392cee036cbf121a82d","68c5583b9869e837e80ce980","sess_1790176426437_w75sx7b","view",1,118,"2026-08-12T01:24:25.528Z"
"int_1790176426440_m7z7rzrkx","6a833392cee036cbf121a82d","68c5583b9869e837e80ce9ee","sess_1790176426437_w75sx7b","view",1,173,"2026-08-12T01:24:25.528Z"
"int_1790176426440_iattbgysk","6a833392cee036cbf121a82d","68c5583b9869e837e80cea8f","sess_1790176426437_w75sx7b","view",1,77,"2026-08-12T01:24:25.528Z"
"int_1790176426440_fc07vk31u","6a833392cee036cbf121a82d","68c5583b9869e837e80cea96","sess_1790176426437_w75sx7b","view",1,150,"2026-08-12T01:24:25.528Z"
"int_1790176426440_b7ncr2hgv","6a833392cee036cbf121a82d","68c5583b9869e837e80ce980","sess_1790176426437_w75sx7b","add_to_cart",5,0,"2026-08-12T01:25:00.528Z"
"int_1790176426440_c2n32wveo","6a833392cee036cbf121a82d","68c5583b9869e837e80cea8f","sess_1790176426437_w75sx7b","add_to_cart",5,0,"2026-08-12T01:25:00.528Z"
"int_1790176426923_qi6lnnpdb","6a833395cee036cbf121a859","68c5583b9869e837e80ceac3","sess_explore_1790176426923_foev09","search_click",2,69,"2026-08-12T02:33:56.467Z"
"int_1790176426703_kmh4hsuty","6a833396cee036cbf121a861","68c5583b9869e837e80ce995","sess_1790176426701_kln0971","view",1,87,"2026-08-12T02:41:58.841Z"
"int_1790176426703_9l7pjycwx","6a833396cee036cbf121a861","68c5583b9869e837e80ce999","sess_1790176426701_kln0971","view",1,42,"2026-08-12T02:41:58.841Z"
"int_1790176426703_d0f6zc7uk","6a833396cee036cbf121a861","68c5583b9869e837e80ce97d","sess_1790176426701_kln0971","view",1,149,"2026-08-12T02:41:58.841Z"
"int_1790176426703_duwuwqes9","6a833396cee036cbf121a861","68c5583b9869e837e80ce999","sess_1790176426701_kln0971","like",3,0,"2026-08-12T02:42:13.841Z"
"int_1790176426703_vzh9qounl","6a833396cee036cbf121a861","68c5583b9869e837e80ce97d","sess_1790176426701_kln0971","like",3,0,"2026-08-12T02:42:13.841Z"
"int_1790176426703_v9f9r9gj2","6a833396cee036cbf121a861","68c5583b9869e837e80ce995","sess_1790176426701_kln0971","add_to_cart",5,0,"2026-08-12T02:42:33.841Z"
"int_1790176426703_yd60g99mt","6a833396cee036cbf121a861","68c5583b9869e837e80ce97d","sess_1790176426701_kln0971","add_to_cart",5,0,"2026-08-12T02:42:33.841Z"
"int_1790176426923_oez2bvf77","6a833397cee036cbf121a879","68c5583b9869e837e80ceac4","sess_explore_1790176426923_k7qr8e","view",1,41,"2026-08-12T03:14:27.181Z"
