interaction_id,user_id,product_id,session_id,interaction_type,implicit_weight,duration_seconds,rating_score,source,timestamp
"int_1786983335726_nnh6buxnb","6a833392cee036cbf121a829","68ca54d976a72c2aed452e73","sess_21a829_2_1786983335450","view",1,30,,"category_browse","2026-07-09T14:35:44.051Z"
"int_1786983335588_fybjgbrhr","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_2_1786983335450","like",3,0,4,"product_detail","2026-07-09T14:36:02.259Z"
"int_1786983335864_yksem0ttf","6a833392cee036cbf121a829","68ca54d976a72c2aed452e85","sess_21a829_2_1786983335450","view",1,26,,"category_browse","2026-07-09T14:36:11.064Z"
"int_1786983335795_qi2nzpszu","6a833392cee036cbf121a829","68ca54d976a72c2aed452e99","sess_21a829_2_1786983335450","view",1,33,,"category_browse","2026-07-09T14:36:25.220Z"
"int_1786983335934_hxr3ot56m","6a833392cee036cbf121a829","68ca54d976a72c2aed452e9b","sess_21a829_3_1786983335933","view",1,35,,"category_browse","2026-07-10T14:48:03.416Z"
"int_1786983336220_wksk6rv9v","6a833392cee036cbf121a829","68ca54d976a72c2aed452eaa","sess_21a829_3_1786983335933","view",1,10,,"category_browse","2026-07-10T14:49:14.289Z"
"int_1786983336150_55wttj2tg","6a833392cee036cbf121a829","68ca54d976a72c2aed452f17","sess_21a829_3_1786983335933","view",1,36,,"category_browse","2026-07-10T14:50:05.211Z"
"int_1786983336012_o6n84tgza","6a833392cee036cbf121a829","68ca54d976a72c2aed452e88","sess_21a829_3_1786983335933","view",1,11,,"category_browse","2026-07-10T14:50:14.190Z"
"int_1786983336080_9g2wrfk47","6a833392cee036cbf121a829","68ca54d976a72c2aed452e75","sess_21a829_3_1786983335933","view",1,45,,"category_browse","2026-07-10T14:50:36.501Z"
"int_1786983336428_jlozj0zdm","6a833392cee036cbf121a829","68ca54d976a72c2aed452f56","sess_21a829_4_1786983336291","view",1,15,,"category_browse","2026-07-14T15:29:32.472Z"
"int_1786983336524_8cvyadwzn","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_4_1786983336291","view",1,234,4,"recommendation","2026-07-14T15:29:46.920Z"
"int_1786983336360_wr866sxn2","6a833392cee036cbf121a829","68ca54d976a72c2aed452fa2","sess_21a829_4_1786983336291","view",1,16,,"category_browse","2026-07-14T15:30:45.703Z"
"int_1786983336292_h8bo2t5qc","6a833392cee036cbf121a829","68ca54d976a72c2aed452f17","sess_21a829_4_1786983336291","view",1,9,,"category_browse","2026-07-14T15:31:13.576Z"
"int_1786983336595_1pkh5ay5n","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_4_1786983336291","add_to_cart",5,0,4,"product_detail","2026-07-14T15:32:34.206Z"
"int_1786983336904_mlvc8luj9","6a833392cee036cbf121a829","68ca54d976a72c2aed452e75","sess_21a829_5_1786983336674","view",1,9,,"category_browse","2026-07-15T16:25:12.552Z"
"int_1786983336674_yvpwynkg5","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_5_1786983336674","view",1,101,4,"recommendation","2026-07-15T16:26:06.504Z"
"int_1786983336750_dxj61ig04","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_5_1786983336674","like",3,0,4,"product_detail","2026-07-15T16:26:34.943Z"
"int_1786983336974_y42oq43zu","6a833392cee036cbf121a829","68ca54d976a72c2aed452ef9","sess_21a829_5_1786983336674","view",1,9,,"category_browse","2026-07-15T16:27:06.539Z"
"int_1786983336831_sm1rd1sja","6a833392cee036cbf121a829","68ca54d976a72c2aed452e6c","sess_21a829_5_1786983336674","add_to_cart",5,0,4,"product_detail","2026-07-15T16:27:46.293Z"
"int_1786983337180_vyd3h9z82","6a833392cee036cbf121a829","68ca54d976a72c2aed452ea6","sess_21a829_6_1786983337041","view",1,265,,"recommendation","2026-07-19T16:43:07.533Z"
"int_1786983337250_njv6mptlf","6a833392cee036cbf121a829","68ca54d976a72c2aed452ea6","sess_21a829_6_1786983337041","like",3,0,,"product_detail","2026-07-19T16:43:33.980Z"
"int_1786983386173_0yk97ah63","6a833392cee036cbf121a82d","68ca54d976a72c2aed452f35","sess_21a82d_0_1786983386173","view",1,20,,"category_browse","2026-07-07T12:08:50.713Z"
"int_1786983386234_ookkx7q99","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff1","sess_21a82d_0_1786983386173","view",1,273,,"recommendation","2026-07-07T12:10:11.452Z"
"int_1786983386299_kfsyv97wo","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff1","sess_21a82d_0_1786983386173","like",3,0,,"product_detail","2026-07-07T12:10:28.396Z"
"int_1786983386552_9yscorh0w","6a833392cee036cbf121a82d","68ca54d976a72c2aed452fba","sess_21a82d_1_1786983386418","view",1,26,,"category_browse","2026-07-11T12:54:59.552Z"
"int_1786983386419_oo4yc6gf0","6a833392cee036cbf121a82d","68ca54d976a72c2aed452f4b","sess_21a82d_1_1786983386418","view",1,13,,"category_browse","2026-07-11T12:55:02.929Z"
"int_1786983386663_m1vnqcns5","6a833392cee036cbf121a82d","68ca54d976a72c2aed452e7b","sess_21a82d_1_1786983386418","view",1,32,,"category_browse","2026-07-11T12:55:34.112Z"
"int_1786983386719_cnvvbq9mq","6a833392cee036cbf121a82d","68ca54d976a72c2aed452f1f","sess_21a82d_1_1786983386418","view",1,34,,"category_browse","2026-07-11T12:55:42.102Z"
"int_1786983386497_v513cj99g","6a833392cee036cbf121a82d","68ca54d976a72c2aed452e85","sess_21a82d_1_1786983386418","view",1,38,,"category_browse","2026-07-11T12:56:32.371Z"
"int_1786983386607_9k37l3d85","6a833392cee036cbf121a82d","68ca54d976a72c2aed452e9a","sess_21a82d_1_1786983386418","view",1,45,,"category_browse","2026-07-11T12:56:40.551Z"
"int_1786983386836_qer1s9is5","6a833392cee036cbf121a82d","68ca54d976a72c2aed452f1f","sess_21a82d_2_1786983386775","view",1,9,,"category_browse","2026-07-12T13:11:34.401Z"
"int_1786983387203_wedenpprx","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ea6","sess_21a82d_2_1786983386775","view",1,38,,"category_browse","2026-07-12T13:11:46.893Z"
"int_1786983387265_avmmrd0pt","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ee1","sess_21a82d_2_1786983386775","view",1,12,,"category_browse","2026-07-12T13:12:27.020Z"
"int_1786983386775_eyip0b22k","6a833392cee036cbf121a82d","68ca54d976a72c2aed452e9b","sess_21a82d_2_1786983386775","view",1,28,,"category_browse","2026-07-12T13:12:31.941Z"
"int_1786983386948_4qgal49hy","6a833392cee036cbf121a82d","68ca54d976a72c2aed452eaa","sess_21a82d_2_1786983386775","view",1,274,5,"search","2026-07-12T13:12:42.935Z"
"int_1786983386893_r3i5xdhr9","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff2","sess_21a82d_2_1786983386775","view",1,186,,"recommendation","2026-07-12T13:12:53.478Z"
"int_1786983387004_rl9vbghbf","6a833392cee036cbf121a82d","68ca54d976a72c2aed452eaa","sess_21a82d_2_1786983386775","like",3,0,5,"product_detail","2026-07-12T13:13:03.028Z"
"int_1786983387144_019h3zuq3","6a833392cee036cbf121a82d","68ca54d976a72c2aed452eaa","sess_21a82d_2_1786983386775","add_to_cart",5,0,5,"product_detail","2026-07-12T13:13:32.347Z"
"int_1786983387563_f2wlgf1wz","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff2","sess_21a82d_3_1786983387320","view",1,278,,"recommendation","2026-07-15T13:57:23.206Z"
"int_1786983387623_8v9yulbcn","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff2","sess_21a82d_3_1786983387320","search_click",2,0,,"product_detail","2026-07-15T13:57:30.209Z"
"int_1786983387391_khykmgtkq","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff1","sess_21a82d_3_1786983387320","view",1,112,,"recommendation","2026-07-15T13:58:16.057Z"
"int_1786983387453_s4dc6ifs9","6a833392cee036cbf121a82d","68ca54d976a72c2aed452ff1","sess_21a82d_3_1786983387320","search_click",2,0,,"product_detail","2026-07-15T13:58:35.267Z"
"int_1786983327387_19j2tj5pb","6a833392cee036cbf121a827","68ca54d976a72c2aed452e92","sess_21a827_0_1786983327175","view",1,10,,"category_browse","2026-07-08T03:22:49.727Z"
"int_1786983327176_pxibm5q0h","6a833392cee036cbf121a827","68ca54d976a72c2aed452e85","sess_21a827_0_1786983327175","view",1,25,,"category_browse","2026-07-08T03:23:46.627Z"
"int_1786983327243_ebvxlo8n0","6a833392cee036cbf121a827","68ca54d976a72c2aed452e91","sess_21a827_0_1786983327175","view",1,176,,"recommendation","2026-07-08T03:23:47.940Z"
"int_1786983327319_pgzg14hrs","6a833392cee036cbf121a827","68ca54d976a72c2aed452e91","sess_21a827_0_1786983327175","like",3,0,,"product_detail","2026-07-08T03:24:13.340Z"
"int_1786983327458_wgcdndjk4","6a833392cee036cbf121a827","68ca54d976a72c2aed452e92","sess_21a827_1_1786983327458","view",1,30,,"category_browse","2026-07-10T03:48:43.265Z"
"int_1786983327532_nqp165ubu","6a833392cee036cbf121a827","68ca54d976a72c2aed452f6e","sess_21a827_1_1786983327458","view",1,8,,"category_browse","2026-07-10T03:49:42.281Z"
"int_1786983327601_zzy5syhoh","6a833392cee036cbf121a827","68ca54d976a72c2aed452f72","sess_21a827_1_1786983327458","view",1,160,,"search","2026-07-10T03:50:44.336Z"
"int_1786983327669_evef42npw","6a833392cee036cbf121a827","68ca54d976a72c2aed452f72","sess_21a827_1_1786983327458","like",3,0,,"product_detail","2026-07-10T03:51:02.236Z"
"int_1786983461743_wtxul1dr6","6a833393cee036cbf121a837","68ca54d976a72c2aed452e78","sess_21a837_0_1786983461684","view",1,276,5,"recommendation","2026-07-08T18:20:21.062Z"
"int_1786983461684_3ykhh3jg3","6a833393cee036cbf121a837","68ca54d976a72c2aed452f51","sess_21a837_0_1786983461684","view",1,31,,"category_browse","2026-07-08T18:21:42.016Z"
"int_1786983461808_mbdaosmer","6a833393cee036cbf121a837","68ca54d976a72c2aed452e78","sess_21a837_0_1786983461684","add_to_cart",5,0,5,"product_detail","2026-07-08T18:21:45.041Z"
"int_1786983461975_n224dkry8","6a833393cee036cbf121a837","68ca54d976a72c2aed452ec0","sess_21a837_1_1786983461865","view",1,23,,"category_browse","2026-07-10T18:37:55.980Z"
"int_1786983461865_dmh8nxezy","6a833393cee036cbf121a837","68ca54d976a72c2aed452f82","sess_21a837_1_1786983461865","view",1,15,,"category_browse","2026-07-10T18:38:54.189Z"
"int_1786983461921_w4z3c2oy8","6a833393cee036cbf121a837","68ca54d976a72c2aed452f51","sess_21a837_1_1786983461865","view",1,40,,"category_browse","2026-07-10T18:39:19.238Z"
"int_1786983462103_o0s1s9dox","6a833393cee036cbf121a837","68ca54d976a72c2aed452f82","sess_21a837_2_1786983462043","view",1,9,,"category_browse","2026-07-12T19:16:38.711Z"
"int_1786983462043_2rxru8j5p","6a833393cee036cbf121a837","68ca54d976a72c2aed452f96","sess_21a837_2_1786983462043","view",1,31,,"category_browse","2026-07-12T19:16:52.487Z"
"int_1786983462217_u8hbuagko","6a833393cee036cbf121a837","68ca54d976a72c2aed452ec5","sess_21a837_3_1786983462160","view",1,25,,"category_browse","2026-07-16T20:08:44.047Z"
"int_1786983462160_00x2a6t1y","6a833393cee036cbf121a837","68ca54d976a72c2aed452f8b","sess_21a837_3_1786983462160","view",1,8,,"category_browse","2026-07-16T20:09:51.814Z"
"int_1786983462275_sqc4f7oem","6a833393cee036cbf121a837","68ca54d976a72c2aed452f72","sess_21a837_3_1786983462160","view",1,231,,"search","2026-07-16T20:10:25.404Z"
"int_1786983462634_c36x3ms4r","6a833393cee036cbf121a837","68ca54d976a72c2aed452f6e","sess_21a837_4_1786983462331","view",1,37,,"category_browse","2026-07-18T21:06:01.748Z"
"int_1786983462332_e6wlau01t","6a833393cee036cbf121a837","68ca54d976a72c2aed452f72","sess_21a837_4_1786983462331","view",1,170,,"recommendation","2026-07-18T21:06:13.246Z"
"int_1786983462392_a989d8zz0","6a833393cee036cbf121a837","68ca54d976a72c2aed452f72","sess_21a837_4_1786983462331","search_click",2,0,,"product_detail","2026-07-18T21:06:34.751Z"
"int_1786983462520_yets09bis","6a833393cee036cbf121a837","68ca54d976a72c2aed452f22","sess_21a837_4_1786983462331","view",1,182,,"search","2026-07-18T21:06:39.427Z"
"int_1786983462450_49holw8bo","6a833393cee036cbf121a837","68ca54d976a72c2aed452f8b","sess_21a837_4_1786983462331","view",1,32,,"category_browse","2026-07-18T21:06:41.817Z"
"int_1786983462579_3v4fb3ven","6a833393cee036cbf121a837","68ca54d976a72c2aed452f0b","sess_21a837_4_1786983462331","view",1,16,,"category_browse","2026-07-18T21:06:53.497Z"
"int_1786983462759_7v87aewqy","6a833393cee036cbf121a837","68ca54d976a72c2aed452f82","sess_21a837_5_1786983462690","view",1,18,,"category_browse","2026-07-22T21:08:32.254Z"
"int_1786983367954_0ddojavy9","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e78","sess_21a82b_0_1786983367882","view",1,211,,"search","2026-07-09T01:24:32.638Z"
"int_1786983368031_kkqx7onad","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e78","sess_21a82b_0_1786983367882","search_click",2,0,,"product_detail","2026-07-09T01:24:50.082Z"
"int_1786983368088_d8wi3vrj2","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f1f","sess_21a82b_0_1786983367882","view",1,13,,"category_browse","2026-07-09T01:24:56.930Z"
"int_1786983368155_l5vv86m8m","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f82","sess_21a82b_0_1786983367882","view",1,37,,"category_browse","2026-07-09T01:25:17.480Z"
"int_1786983367883_yvfk9lq48","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e9b","sess_21a82b_0_1786983367882","view",1,40,,"category_browse","2026-07-09T01:26:21.841Z"
"int_1786983368516_dbt8xxt8y","6a833392cee036cbf121a82b","68ca54d976a72c2aed452fb0","sess_21a82b_1_1786983368211","view",1,34,,"category_browse","2026-07-13T02:02:08.403Z"
"int_1786983368269_yfsu7t39u","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f07","sess_21a82b_1_1786983368211","view",1,173,,"recommendation","2026-07-13T02:02:13.155Z"
"int_1786983368330_qu854kyi5","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f07","sess_21a82b_1_1786983368211","like",3,0,,"product_detail","2026-07-13T02:02:29.385Z"
"int_1786983368447_ncv3wecka","6a833392cee036cbf121a82b","68ca54d976a72c2aed452fd2","sess_21a82b_1_1786983368211","view",1,15,,"category_browse","2026-07-13T02:03:30.171Z"
"int_1786983368387_bgk23rhzp","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f95","sess_21a82b_1_1786983368211","view",1,29,,"category_browse","2026-07-13T02:03:41.103Z"
"int_1786983368211_n1bqwfw75","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f8b","sess_21a82b_1_1786983368211","view",1,18,,"category_browse","2026-07-13T02:03:55.256Z"
"int_1786983368693_bi8r851tz","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f1f","sess_21a82b_2_1786983368577","view",1,33,,"category_browse","2026-07-16T02:45:28.890Z"
"int_1786983368578_reo2qepbw","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e77","sess_21a82b_2_1786983368577","view",1,14,,"category_browse","2026-07-16T02:46:00.680Z"
"int_1786983368633_vgwwph8wq","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f96","sess_21a82b_2_1786983368577","view",1,29,,"category_browse","2026-07-16T02:46:22.273Z"
"int_1786983368753_3w85rz88y","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e9e","sess_21a82b_2_1786983368577","view",1,264,4,"search","2026-07-16T02:46:31.724Z"
"int_1786983368814_kypofu7zq","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e9e","sess_21a82b_3_1786983368814","view",1,92,4,"search","2026-07-18T03:13:52.889Z"
"int_1786983368873_146lul9ch","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e9e","sess_21a82b_3_1786983368814","like",3,0,4,"product_detail","2026-07-18T03:14:12.410Z"
"int_1786983369025_kh2283hsa","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f1f","sess_21a82b_3_1786983368814","view",1,43,,"category_browse","2026-07-18T03:14:37.407Z"
"int_1786983369294_gi2ie6xa2","6a833392cee036cbf121a82b","68ca54d976a72c2aed452f1f","sess_21a82b_4_1786983369102","view",1,23,,"category_browse","2026-07-20T03:47:30.652Z"
"int_1786983369408_mjp64ttl8","6a833392cee036cbf121a82b","68ca54d976a72c2aed452fda","sess_21a82b_4_1786983369102","view",1,32,,"category_browse","2026-07-20T03:47:41.708Z"
"int_1786983369102_mk0alow25","6a833392cee036cbf121a82b","68ca54d976a72c2aed452e9e","sess_21a82b_4_1786983369102","view",1,192,4,"search","2026-07-20T03:48:14.980Z"
"int_1786983442491_k26typ7ci","6a833393cee036cbf121a835","68ca54d976a72c2aed452f41","sess_21a835_0_1786983441996","view",1,10,,"category_browse","2026-07-09T07:01:30.222Z"
"int_1786983442344_m3scvhh7g","6a833393cee036cbf121a835","68ca54d976a72c2aed452ec4","sess_21a835_0_1786983441996","view",1,27,,"category_browse","2026-07-09T07:01:47.082Z"
"int_1786983442093_438q7ga5u","6a833393cee036cbf121a835","68ca54d976a72c2aed452f63","sess_21a835_0_1786983441996","view",1,111,,"search","2026-07-09T07:02:30.460Z"
"int_1786983442162_iw0v80sfj","6a833393cee036cbf121a835","68ca54d976a72c2aed452f63","sess_21a835_0_1786983441996","search_click",2,0,,"product_detail","2026-07-09T07:02:46.181Z"
"int_1786983441996_2jusm4f3r","6a833393cee036cbf121a835","68ca54d976a72c2aed452e65","sess_21a835_0_1786983441996","view",1,15,,"category_browse","2026-07-09T07:03:03.495Z"
"int_1786983442413_r1d888xj8","6a833393cee036cbf121a835","68ca54d976a72c2aed452e7a","sess_21a835_0_1786983441996","view",1,276,,"recommendation","2026-07-09T07:03:25.680Z"
"int_1786983442259_n2a3go03l","6a833393cee036cbf121a835","68ca54d976a72c2aed452f63","sess_21a835_0_1786983441996","add_to_cart",5,0,,"product_detail","2026-07-09T07:04:27.847Z"
"int_1786983442563_27v0hazew","6a833393cee036cbf121a835","68ca54d976a72c2aed452eb5","sess_21a835_1_1786983442563","view",1,32,,"category_browse","2026-07-12T07:39:15.514Z"
"int_1786983442698_e75qjhotb","6a833393cee036cbf121a835","68ca54d976a72c2aed452e7b","sess_21a835_1_1786983442563","view",1,33,,"category_browse","2026-07-12T07:39:22.264Z"
"int_1786983442630_575nix969","6a833393cee036cbf121a835","68ca54d976a72c2aed452fe8","sess_21a835_1_1786983442563","view",1,36,,"category_browse","2026-07-12T07:39:29.244Z"
"int_1786983442770_h0it602xm","6a833393cee036cbf121a835","68ca54d976a72c2aed452f57","sess_21a835_1_1786983442563","view",1,15,,"category_browse","2026-07-12T07:40:14.313Z"
"int_1786983443135_h51edx3b8","6a833393cee036cbf121a835","68ca54d976a72c2aed452e66","sess_21a835_2_1786983442841","view",1,18,,"category_browse","2026-07-14T08:05:33.251Z"
"int_1786983443065_e558ioi2e","6a833393cee036cbf121a835","68ca54d976a72c2aed452e65","sess_21a835_2_1786983442841","view",1,15,,"category_browse","2026-07-14T08:05:52.947Z"
"int_1786983404871_w7w5b702u","6a833392cee036cbf121a82f","68ca54d976a72c2aed452e95","sess_21a82f_0_1786983404699","view",1,36,,"category_browse","2026-07-09T22:58:35.056Z"
"int_1786983404932_yfab51omt","6a833392cee036cbf121a82f","68ca54d976a72c2aed452f52","sess_21a82f_0_1786983404699","view",1,34,,"category_browse","2026-07-09T23:00:02.788Z"
"int_1786983404700_iav1pmnga","6a833392cee036cbf121a82f","68ca54d976a72c2aed452eef","sess_21a82f_0_1786983404699","view",1,139,5,"recommendation","2026-07-09T23:00:50.602Z"
"int_1786983404757_sndnepcze","6a833392cee036cbf121a82f","68ca54d976a72c2aed452eef","sess_21a82f_0_1786983404699","like",3,0,5,"product_detail","2026-07-09T23:01:11.647Z"
"int_1786983404814_b0cl2961y","6a833392cee036cbf121a82f","68ca54d976a72c2aed452eef","sess_21a82f_0_1786983404699","add_to_cart",5,0,5,"product_detail","2026-07-09T23:03:33.322Z"
"int_1786983405072_gv3vyeo2o","6a833392cee036cbf121a82f","68ca54d976a72c2aed452e74","sess_21a82f_1_1786983405012","view",1,30,,"category_browse","2026-07-11T23:45:27.418Z"
"int_1786983405012_liyrxjblp","6a833392cee036cbf121a82f","68ca54d976a72c2aed452f3e","sess_21a82f_1_1786983405012","view",1,18,,"category_browse","2026-07-11T23:45:51.363Z"
"int_1786983405187_0dvgl75kq","6a833392cee036cbf121a82f","68ca54d976a72c2aed452f3e","sess_21a82f_2_1786983405129","view",1,11,,"category_browse","2026-07-14T00:18:29.798Z"
"int_1786983405129_4jjw40xd9","6a833392cee036cbf121a82f","68ca54d976a72c2aed452f0a","sess_21a82f_2_1786983405129","view",1,32,,"category_browse","2026-07-14T00:18:45.860Z"
"int_1786983405245_lzkoe4ual","6a833392cee036cbf121a82f","68ca54d976a72c2aed452f56","sess_21a82f_2_1786983405129","view",1,43,,"category_browse","2026-07-14T00:19:05.079Z"
"int_1786983405423_py09yai32","6a833392cee036cbf121a82f","68ca54d976a72c2aed452ee8","sess_21a82f_3_1786983405301","view",1,210,,"search","2026-07-18T01:04:34.036Z"
"int_1786983405302_tw23n6guk","6a833392cee036cbf121a82f","68ca54d976a72c2aed452edc","sess_21a82f_3_1786983405301","view",1,36,,"category_browse","2026-07-18T01:06:21.148Z"
"int_1786983405363_8u5wm010f","6a833392cee036cbf121a82f","68ca54d976a72c2aed452f0a","sess_21a82f_3_1786983405301","view",1,20,,"category_browse","2026-07-18T01:06:23.422Z"
"int_1786983405480_5ef6od5tg","6a833392cee036cbf121a82f","68ca54d976a72c2aed452efb","sess_21a82f_3_1786983405301","view",1,167,,"search","2026-07-18T01:06:34.775Z"
"int_1786983498192_4sm1f00vj","6a833393cee036cbf121a83d","68ca54d976a72c2aed452edc","sess_21a83d_0_1786983498191","view",1,29,,"category_browse","2026-07-10T02:20:00.608Z"
"int_1786983498265_0v4lejgq9","6a833393cee036cbf121a83d","68ca54d976a72c2aed452ef8","sess_21a83d_0_1786983498191","view",1,126,,"search","2026-07-10T02:20:57.328Z"
"int_1786983498337_xr66zl0v1","6a833393cee036cbf121a83d","68ca54d976a72c2aed452ef8","sess_21a83d_0_1786983498191","like",3,0,,"product_detail","2026-07-10T02:21:13.509Z"
